2022-12-23 13:34:25.300,91282CFX4,99-191,0-002,
2022-12-23 13:34:25.600,91282CFX4,100-076,0-00+,
2022-12-23 13:34:25.901,91282CFX4,100-21+,0-00+,
2022-12-23 13:34:26.201,91282CFX4,100-006,0-00+,
2022-12-23 13:34:26.501,91282CFX4,99-220,0-00+,
2022-12-23 13:34:26.811,91282CFX4,99-132,0-002,
2022-12-23 13:34:27.110,91282CFW6,99-201,0-00+,
2022-12-23 13:34:27.410,91282CFW6,100-232,0-00+,
2022-12-23 13:34:27.751,91282CFW6,100-215,0-002,
2022-12-23 13:34:28.053,91282CFW6,100-017,0-002,
2022-12-23 13:34:28.353,91282CFW6,99-085,0-002,
2022-12-23 13:34:28.652,91282CFZ9,99-22+,0-003,
2022-12-23 13:34:28.970,91282CFZ9,99-302,0-00+,
2022-12-23 13:34:29.270,91282CFZ9,100-18+,0-003,
2022-12-23 13:34:29.571,91282CFZ9,100-177,0-00+,
2022-12-23 13:34:29.887,91282CFZ9,99-265,0-003,
2022-12-23 13:34:30.189,91282CFZ9,99-197,0-002,
2022-12-23 13:34:30.490,91282CFY2,99-005,0-003,
2022-12-23 13:34:30.796,91282CFY2,99-217,0-003,
2022-12-23 13:34:31.120,91282CFY2,100-011,0-00+,
2022-12-23 13:34:31.424,91282CFY2,100-140,0-00+,
2022-12-23 13:34:31.750,91282CFY2,100-275,0-002,
2022-12-23 13:34:32.055,91282CFY2,100-187,0-003,
2022-12-23 13:34:32.384,91282CFY2,100-096,0-002,
2022-12-23 13:34:32.684,91282CFY2,99-25+,0-002,
2022-12-23 13:34:32.984,91282CFV8,99-003,0-003,
2022-12-23 13:34:33.284,91282CFV8,99-206,0-00+,
2022-12-23 13:34:33.616,91282CFV8,99-317,0-003,
2022-12-23 13:34:33.916,91282CFV8,100-18+,0-00+,
2022-12-23 13:34:34.219,91282CFV8,100-187,0-00+,
2022-12-23 13:34:34.519,91282CFV8,99-311,0-003,
2022-12-23 13:34:34.819,91282CFV8,99-252,0-00+,
2022-12-23 13:34:35.120,91282CFV8,99-041,0-003,
2022-12-23 13:34:35.419,912810TM0,99-187,0-00+,
2022-12-23 13:34:35.732,912810TM0,100-050,0-003,
2022-12-23 13:34:36.032,912810TM0,100-196,0-002,
2022-12-23 13:34:36.338,912810TM0,100-293,0-003,
2022-12-23 13:34:36.638,912810TM0,100-073,0-002,
2022-12-23 13:34:36.968,912810TM0,99-26+,0-003,
2022-12-23 13:34:37.320,912810TM0,99-201,0-003,
2022-12-23 13:34:37.609,912810TL2,99-130,0-002,
2022-12-23 13:34:37.909,912810TL2,100-143,0-003,
2022-12-23 13:34:38.249,912810TL2,100-267,0-002,
2022-12-23 13:34:38.551,912810TL2,100-177,0-003,
2022-12-23 13:34:38.849,912810TL2,99-27+,0-003,
2022-12-23 13:34:39.184,912810TL2,99-185,0-003,
